id,criteria,ADMIN,STAFF,NAAC_COD,DEPT_COD,TEACHER,CLUB,OTHER,assigned_clubs,ordering,cr_index,is_active,is_enabled
141,c7_1_10,f,f,t,f,f,f,f,{},720,7,t,t
142,c7_1_11,f,f,t,f,f,t,f,"{'"MSW'": '"True'", '"NCC'": '"True'", '"NSS'": '"True'"}",721,7,t,t
143,c7_1_12,f,f,t,f,f,f,f,{},722,7,t,t
144,c7_1_13,f,f,t,f,f,t,f,{},723,7,t,t
145,c7_1_14,f,f,t,f,f,t,f,"{'"NCC'": '"True'", '"NSS'": '"True'"}",724,7,t,t
146,c7_1_15,f,f,f,f,f,t,f,"{'"ETHICS'": '"True'"}",725,7,t,t
147,c7_1_16,f,f,f,f,f,f,f,{},726,7,t,t
148,c7_1_17,f,f,t,t,f,f,f,{},727,7,t,t
149,c7_1_18,f,f,t,t,f,t,f,"{'"NCC'": '"True'", '"NSS'": '"True'"}",728,7,t,t
150,c7_1_19,f,f,t,f,f,f,f,"{'"ADMINISTRATOR'": '"True'"}",729,7,t,t
151,c7_2_1,f,f,t,f,f,t,f,"{'"VICE_PRINCIPALE'": '"True'"}",731,7,t,t
152,c7_3_1,f,f,t,f,f,f,f,{},741,7,t,t
153,c5_4_1B,f,f,f,t,f,t,f,"{'"ALUMNI'": '"True'"}",541.2,5,t,t
1,c1_1_1,f,f,t,t,t,f,f,"'"\'"{}\'"'"",101,1,t,t
